"","RVSN_ADDR_CD","year","misc_n","misc_cost","misc_case","deliv_n","deliv_cost","deliv_case","N46_n","N97_n","O00_n","O01_n","O02_n","O03_n","O05_n","O06_n","O08_n","O80_n","O81_n","O82_n","O83_n","O84_n","Z32_n","O04_n","NA_n","O07_n","N46_cost","N97_cost","O00_cost","O01_cost","O02_cost","O03_cost","O05_cost","O06_cost","O08_cost","O80_cost","O81_cost","O82_cost","O83_cost","O84_cost","Z32_cost","O04_cost","NA_cost","O07_cost","N46_case","N97_case","O00_case","O01_case","O02_case","O03_case","O05_case","O06_case","O08_case","O80_case","O81_case","O82_case","O83_case","O84_case","Z32_case","O04_case","NA_case","O07_case"
"816",43111,2022,109,59062160,362,247,649919910,288,340,548,19,3,56,12,5,7,1,50,5,163,12,17,6,3,0,3,40148890,1005355360,27557740,473840,26826800,1170830,411490,863000,332560,103456250,15088530,442466050,28639950,60269130,1354640,667610,0,758290,577,5938,104,3,198,28,6,11,2,57,7,186,16,22,18,3,0,7
"817",43111,2023,101,55241580,321,241,658385990,251,264,530,16,2,61,14,2,1,5,48,1,167,6,19,12,0,0,0,35142530,1193943800,17927740,1648470,29562050,4806510,244760,55250,996800,107909140,2902890,469938850,14837090,62798020,8273100,0,0,0,437,5846,66,9,211,23,3,2,7,48,1,177,6,19,26,0,0,0
"818",43112,2018,129,58680650,374,100,166841690,115,290,571,27,6,67,19,5,2,2,38,2,47,11,2,8,1,0,0,28387020,677443950,18113920,546100,30753420,8102040,727700,21900,393670,52401910,2977660,93505260,13774370,4182490,927240,21900,0,0,483,5359,93,16,210,39,6,2,6,44,2,53,14,2,14,2,0,0
"819",43112,2019,104,56228570,380,182,345035060,198,262,540,31,2,53,15,1,0,2,48,11,95,13,15,11,0,0,0,20662050,607177850,31113210,408280,21067500,2367410,52180,0,1219990,74877920,20559610,194548860,19357810,35690860,2693730,0,0,0,408,4954,143,11,201,21,2,0,2,52,11,107,13,15,27,0,0,0
"820",43112,2020,129,59932160,423,182,388439910,201,266,498,37,3,62,22,1,1,2,47,2,103,8,22,3,1,0,0,30389840,838335260,29878520,1064480,25031890,2544190,99750,1237280,27680,76130330,3758790,243228030,13130760,52192000,177100,48370,0,0,429,5397,154,20,191,44,7,1,2,47,2,122,8,22,3,4,0,0
"821",43112,2021,100,55828660,351,198,452609630,236,257,453,19,2,57,11,2,1,3,50,3,112,16,17,7,2,0,3,25197960,759366680,23253970,639020,25985390,2946610,98410,89570,409420,94193100,6388400,266643710,28488840,56895580,1237260,2194020,0,212250,406,4868,105,12,194,22,2,1,7,56,3,141,18,18,14,3,0,5
"822",43112,2022,92,50974630,301,197,487176300,204,318,483,17,4,51,9,2,4,4,35,4,130,13,15,5,0,0,1,36878570,1026825350,22528040,903250,22431120,2171890,107850,803340,1762830,69036750,8344600,325664260,24598170,59532520,854940,0,0,266310,537,5761,84,6,167,19,2,5,16,35,4,135,13,17,8,0,0,2
"823",43112,2023,70,26591130,190,212,551118000,226,214,441,13,1,41,7,0,3,4,43,4,144,6,15,6,0,0,1,29929020,824255730,7166540,100840,16277390,1441090,0,325760,1267130,98378050,10151830,386513390,11890510,44184220,564850,0,0,12380,368,4430,57,2,97,18,0,5,10,50,4,150,6,16,10,0,0,1
"824",43113,2018,165,56879570,486,157,286539430,185,414,787,29,9,93,25,2,3,3,52,7,79,12,7,8,1,0,0,36820710,863737190,10924450,2676710,29579810,5882010,74380,2723190,320160,71769970,11535890,166717750,17470530,19045290,815210,4698860,0,0,658,6836,86,28,310,45,6,6,4,64,7,90,16,8,16,1,0,0
"825",43113,2019,177,75103750,555,285,593379270,351,427,777,29,10,94,26,3,5,8,92,13,148,12,20,16,1,0,1,35862730,932258970,33229980,846060,33083470,4289970,334710,1878090,1341460,138603190,21088130,366405770,16920710,50361470,1794020,5670,0,94340,663,7482,124,21,325,50,13,10,10,107,15,195,12,22,26,1,0,1
"826",43113,2020,190,80283470,551,371,805170550,427,515,869,44,7,92,21,9,6,10,99,12,217,17,26,12,1,0,0,65374790,1407021780,26857840,1592540,43190810,3439310,907770,1808620,1929400,167516910,25304490,512020680,25117290,75211180,14561450,557180,0,0,885,9240,176,24,261,47,17,9,13,118,12,253,17,27,14,4,0,0
"827",43113,2021,255,130365480,860,413,960192190,451,665,999,40,12,141,28,4,7,13,101,17,247,24,24,11,3,0,7,69155160,1683106780,41886650,6249370,63717280,10626290,242430,714170,2491370,186960310,36757570,608987880,41518570,85967860,5663640,3958910,0,479010,1099,11114,190,55,503,57,7,12,23,118,17,267,24,25,12,3,0,10
"828",43113,2022,225,118351250,672,425,1087933950,502,628,994,43,11,116,31,2,5,12,89,11,280,18,27,19,0,0,5,85011050,1899951120,52029330,2888190,51289080,6874010,47820,273080,4236490,195438870,27695550,756863520,29051430,78884580,2216400,0,0,713250,1116,10987,174,24,381,48,3,7,26,112,11,332,18,29,22,0,0,9
"829",43113,2023,163,80116830,484,492,1306241650,563,465,968,29,1,105,17,2,4,5,80,19,333,19,41,16,0,0,0,70740310,1981263740,21978950,69470,48795470,7577630,95640,348910,1250760,168825770,43246280,932431130,36520630,125217840,4862540,0,0,0,873,10069,113,3,314,33,2,6,13,100,19,379,19,46,33,0,0,0
"830",43114,2018,142,44713940,395,155,295935910,192,430,744,27,1,79,24,1,5,2,58,9,77,4,7,10,3,0,0,37927620,865560910,10939430,127260,27011110,3648260,292860,458130,120230,79277830,11518700,180780070,9933810,14425500,2263330,2116660,0,0,683,6704,87,1,253,35,1,11,2,74,10,96,5,7,35,5,0,0
